mse_id,udyam_number,enterprise_name,owner_name,owner_gender,is_women_owned,enterprise_type,major_activity,state,district,tier,social_category,nic_2digit,nic_5digit,nic_description,sector,category_l1,language_preference,turnover_lakh,investment_lakh,products_services,registration_month,registered,catalog_created,snp_matched,live,first_order
MSE00001,UDYAM-MH-01-0000001,Mumbai Enterprise 1,Owner 1,Other,0,Small,Manufacturing,Maharashtra,Mumbai,1,OBC,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,en,470.14,227.5,Cotton Saree|Silk Stole,5,1,0,0,0,0
MSE00002,UDYAM-TN-02-0000002,Coimbatore Enterprise 2,Owner 2,Female,1,Micro,Manufacturing,Tamil Nadu,Coimbatore,1,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,ta,32.99,6.51,Silk Stole|Cotton Saree|Kurta Fabric,1,1,1,0,0,0
MSE00003,UDYAM-NL-02-0000003,Dimapur Enterprise 3,Owner 3,Female,1,Micro,Manufacturing,Nagaland,Dimapur,3,ST,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,93.25,44.75,Wooden Craft|Papier-mache Decor|Brass Lamp,3,1,0,0,0,0
MSE00004,UDYAM-UP-03-0000004,Varanasi Enterprise 4,Owner 4,Female,1,Small,Manufacturing,Uttar Pradesh,Varanasi,3,General,32,32909,Other manufacturing n.e.c.,handicrafts,Handicrafts & Handloom,hi,573.5,139.16,Papier-mache Decor|Wooden Craft|Brass Lamp,5,1,1,1,1,1
MSE00005,UDYAM-RJ-03-0000005,Udaipur Enterprise 5,Owner 5,Male,0,Micro,Manufacturing,Rajasthan,Udaipur,3,OBC,20,20232,Manufacture of perfumes and toilet preparations,health_beauty,Beauty & Personal Care,hi,85.51,27.5,Ayurvedic Balm|Essential Oil,6,1,1,1,0,0
MSE00006,UDYAM-GA-03-0000006,Mormugao Enterprise 6,Owner 6,Male,0,Small,Manufacturing,Goa,Mormugao,3,Minority,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,915.09,198.55,Decorative Shelf|Kitchen Organizer,6,1,1,1,1,1
MSE00007,UDYAM-MH-01-0000007,Mumbai Enterprise 7,Owner 7,Female,1,Micro,Manufacturing,Maharashtra,Mumbai,1,OBC,31,31001,Manufacture of furniture,others,Home & Kitchen,hi,49.94,12.53,Wooden Chair|Kitchen Organizer|Storage Rack,5,1,0,0,0,0
MSE00008,UDYAM-DL-03-0000008,South East Delhi Enterprise 8,Owner 8,Female,1,Small,Manufacturing,Delhi,South East Delhi,3,General,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,en,453.83,359.45,Ready-to-Eat Snacks|Masala Mix|Papad,3,1,1,1,1,0
MSE00009,UDYAM-KA-02-0000009,Mysuru Enterprise 9,Owner 9,Female,1,Micro,Manufacturing,Karnataka,Mysuru,2,OBC,10,10795,"Manufacture of papads, appalam and similar foods",food,Food & Beverage,en,10.88,32.16,Papad|Ready-to-Eat Snacks,6,1,1,1,1,1
MSE00010,UDYAM-KL-01-0000010,Ernakulam Enterprise 10,Owner 10,Other,0,Micro,Manufacturing,Kerala,Ernakulam,1,General,13,13121,"Weaving, manufacture of cotton textiles",textiles,Fashion,en,56.53,43.73,Silk Stole|Handloom Dupatta,5,1,1,1,0,0
