product_id,mse_id,state,district,category_l1,category_l2,product_name,description,price,quantity,is_handmade
PROD00001,MSE04705,Uttar Pradesh,Agra,Electronics,Mobile & Accessories,Earphones,Earphones by Agra Enterprise 4705 in Agra.,3993.02,1 piece,0
PROD00002,MSE00526,Haryana,Hisar,Food & Beverage,Packaged Foods,Papad,Papad by Hisar Enterprise 526 in Hisar.,117.49,500 gram,1
PROD00003,MSE02974,Uttar Pradesh,Agra,Food & Beverage,Packaged Foods,Papad,Papad by Agra Enterprise 2974 in Agra.,348.75,250 ml,1
PROD00004,MSE03231,Rajasthan,Kota,Agriculture,Seeds,Compost,Compost by Kota Enterprise 3231 in Kota.,1012.25,2 piece,0
PROD00005,MSE03184,Madhya Pradesh,Indore,Fashion,Women's Apparel,Handloom Dupatta,Handloom Dupatta by Indore Enterprise 3184 in Indore.,2601.47,200 gram,1
PROD00006,MSE00266,Kerala,Kozhikode,Food & Beverage,Packaged Foods,Ready-to-Eat Snacks,Ready-to-Eat Snacks by Kozhikode Enterprise 266 in Kozhikode.,382.67,500 gram,1
PROD00007,MSE02601,Tamil Nadu,Coimbatore,Agriculture,Seeds,Organic Fertilizer,Organic Fertilizer by Coimbatore Enterprise 2601 in Coimbatore.,442.17,1 piece,0
PROD00008,MSE02032,Tamil Nadu,Tiruppur,Fashion,Women's Apparel,Kurta Fabric,Kurta Fabric by Tiruppur Enterprise 2032 in Tiruppur.,1143.22,250 ml,1
PROD00009,MSE01022,Madhya Pradesh,Jabalpur,Beauty & Personal Care,Skincare,Ayurvedic Balm,Ayurvedic Balm by Jabalpur Enterprise 1022 in Jabalpur.,254.67,250 ml,0
PROD00010,MSE03311,Haryana,Ambala,Beauty & Personal Care,Skincare,Natural Soap,Natural Soap by Ambala Enterprise 3311 in Ambala.,634.37,2 piece,0
PROD00011,MSE00034,West Bengal,Asansol,Services,Digital Services,Digital Marketing,Digital Marketing by Asansol Enterprise 34 in Asansol.,2503.11,250 ml,0
PROD00012,MSE00850,Madhya Pradesh,Ujjain,Services,Digital Services,IT Support,IT Support by Ujjain Enterprise 850 in Ujjain.,2185.63,500 gram,0
PROD00013,MSE02568,Kerala,Ernakulam,Fashion,Women's Apparel,Handloom Dupatta,Handloom Dupatta by Ernakulam Enterprise 2568 in Ernakulam.,1416.86,2 piece,1
PROD00014,MSE00023,Haryana,Hisar,Food & Beverage,Packaged Foods,Masala Mix,Masala Mix by Hisar Enterprise 23 in Hisar.,321.99,2 piece,1
PROD00015,MSE03221,Tamil Nadu,Salem,Food & Beverage,Packaged Foods,Mango Pickle,Mango Pickle by Salem Enterprise 3221 in Salem.,230.82,2 piece,1
PROD00016,MSE00072,Haryana,Hisar,Home & Kitchen,Home Decor,Wooden Chair,Wooden Chair by Hisar Enterprise 72 in Hisar.,2501.45,1 kg,0
PROD00017,MSE01518,Tamil Nadu,Salem,Fashion,Women's Apparel,Cotton Saree,Cotton Saree by Salem Enterprise 1518 in Salem.,518.36,2 piece,1
PROD00018,MSE00797,Kerala,Thiruvananthapuram,Fashion,Women's Apparel,Handloom Dupatta,Handloom Dupatta by Thiruvananthapuram Enterprise 797 in Thiruvananthapuram.,462.91,1 kg,1
