mse_id,snp_id,state,category_l1,match_score,rank
MSE00004,SNP018,Uttar Pradesh,Handicrafts & Handloom,0.7551,1
MSE00006,SNP007,Goa,Home & Kitchen,0.879,1
MSE00008,SNP024,Delhi,Food & Beverage,0.646,1
MSE00009,SNP017,Karnataka,Food & Beverage,0.6304,1
MSE00011,SNP024,West Bengal,Food & Beverage,0.9274,1
MSE00012,SNP007,Tamil Nadu,Fashion,0.7733,1
MSE00017,SNP007,Karnataka,Home & Kitchen,0.7726,1
MSE00018,SNP007,Madhya Pradesh,Fashion,0.861,1
MSE00019,SNP024,Odisha,Food & Beverage,0.81,1
MSE00020,SNP007,Delhi,Home & Kitchen,0.9212,1
MSE00023,SNP007,Bihar,Home & Kitchen,0.9287,1
MSE00024,SNP024,Gujarat,Food & Beverage,0.8573,1
MSE00027,SNP007,Maharashtra,Home & Kitchen,0.6262,1
MSE00029,SNP006,Rajasthan,Handicrafts & Handloom,0.7429,1
MSE00031,SNP007,Chhattisgarh,Fashion,0.8869,1
MSE00035,SNP024,Bihar,Food & Beverage,0.6458,1
MSE00037,SNP007,Karnataka,Home & Kitchen,0.9176,1
MSE00038,SNP007,Rajasthan,Home & Kitchen,0.8946,1
MSE00040,SNP002,Tamil Nadu,Electronics,0.7381,1
MSE00041,SNP007,Uttarakhand,Beauty & Personal Care,0.7431,1
MSE00042,SNP006,West Bengal,Handicrafts & Handloom,0.6867,1
MSE00043,SNP012,Uttar Pradesh,Agriculture,0.9039,1
MSE00044,SNP008,Bihar,Services,0.7355,1
MSE00045,SNP024,Maharashtra,Food & Beverage,0.8248,1
MSE00046,SNP006,Maharashtra,Handicrafts & Handloom,0.6598,1
MSE00047,SNP007,Andhra Pradesh,Home & Kitchen,0.8456,1
MSE00048,SNP004,Telangana,Food & Beverage,0.7379,1
MSE00049,SNP024,Punjab,Food & Beverage,0.6302,1
MSE00051,SNP007,Maharashtra,Fashion,0.8272,1
MSE00052,SNP024,Nagaland,Food & Beverage,0.8637,1
MSE00054,SNP002,Tamil Nadu,Electronics,0.6647,1
MSE00055,SNP007,Uttar Pradesh,Home & Kitchen,0.6662,1
MSE00058,SNP007,Rajasthan,Fashion,0.8423,1
MSE00060,SNP004,Andhra Pradesh,Agriculture,0.6438,1
MSE00068,SNP004,Delhi,Agriculture,0.8599,1
MSE00070,SNP006,Madhya Pradesh,Handicrafts & Handloom,0.665,1
MSE00071,SNP017,Karnataka,Food & Beverage,0.6826,1
MSE00073,SNP007,Rajasthan,Home & Kitchen,0.9287,1
MSE00075,SNP024,Bihar,Food & Beverage,0.8972,1
MSE00081,SNP024,West Bengal,Food & Beverage,0.7587,1
MSE00082,SNP024,Punjab,Food & Beverage,0.898,1
MSE00086,SNP008,Maharashtra,Services,0.7538,1
MSE00088,SNP008,Assam,Services,0.7125,1
MSE00092,SNP004,Meghalaya,Agriculture,0.6425,1
MSE00093,SNP002,Odisha,Electronics,0.6995,1
MSE00094,SNP007,Uttar Pradesh,Beauty & Personal Care,0.8251,1
MSE00095,SNP020,Gujarat,Services,0.6421,1
MSE00096,SNP007,Nagaland,Fashion,0.8866,1
MSE00097,SNP004,Delhi,Agriculture,0.7362,1
MSE00098,SNP024,Gujarat,Food & Beverage,0.8216,1
MSE00100,SNP020,Maharashtra,Agriculture,0.6939,1
MSE00101,SNP007,Jammu & Kashmir,Fashion,0.8406,1
MSE00105,SNP007,West Bengal,Fashion,0.6228,1
MSE00106,SNP006,Gujarat,Handicrafts & Handloom,0.9146,1
MSE00109,SNP020,Gujarat,Services,0.8542,1
MSE00110,SNP020,Rajasthan,Services,0.7506,1
MSE00112,SNP006,Andhra Pradesh,Handicrafts & Handloom,0.8758,1
MSE00113,SNP007,Tamil Nadu,Home & Kitchen,0.682,1
MSE00114,SNP024,Odisha,Food & Beverage,0.6881,1
MSE00117,SNP017,Tamil Nadu,Food & Beverage,0.8975,1
MSE00124,SNP007,Himachal Pradesh,Home & Kitchen,0.7109,1
MSE00125,SNP012,Haryana,Agriculture,0.852,1
MSE00128,SNP006,Madhya Pradesh,Handicrafts & Handloom,0.6417,1
